M,CPU_time
20,0.0
43,0.0
66,0.0
90,0.0
113,0.0
136,0.0
159,0.0005208333333333332
183,0.0
206,0.0
229,0.0005208333333333332
252,0.0
276,0.0
299,0.0046875
322,0.0010416666666666667
345,0.0
369,0.009375
392,0.0010416666666666667
415,0.0
438,0.0
461,0.0046875
485,0.0026041666666666665
508,0.0010416666666666664
531,0.005208333333333333
554,0.007291666666666667
578,0.0
601,0.0
624,0.0031249999999999997
647,0.0015624999999999997
671,0.0010416666666666667
694,0.005208333333333333
717,0.0015624999999999997
740,0.010416666666666666
764,0.005208333333333333
787,0.0015624999999999997
810,0.005208333333333333
